,ns,host,time,value,plugin_running_on,swan_loadpoint_qps,achieved_qps_percent,swan_experiment,swan_aggressor_name,swan_phase,swan_repetition,throughputs
992,/intel/swan/mutilate/ovh8/avg,ovh8,2016-12-19 19:16:26.596,212.9,ovh8,375000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 14;,0,
993,/intel/swan/mutilate/ovh8/percentile/10th,ovh8,2016-12-19 22:32:15.710,154.9,ovh8,425000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,L3 Data,Aggressor L3 Data; load point 16;,0,
994,/intel/swan/mutilate/ovh8/percentile/99_000000th/custom,ovh8,2016-12-20 01:56:32.269,488.169991,ovh8,500000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,memBW,Aggressor memBW; load point 19;,0,
995,/intel/swan/mutilate/ovh8/min,ovh8,2016-12-20 02:58:42.825,54.8,ovh8,175000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Instruction,Aggressor L1 Instruction; load point 6;,0,
996,/intel/swan/mutilate/ovh8/avg,ovh8,2016-12-20 02:32:04.545,151.5,ovh8,100000,100.02%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Instruction,Aggressor L1 Instruction; load point 3;,0,
997,/intel/swan/mutilate/ovh8/percentile/90th,ovh8,2016-12-20 05:12:01.926,206.7,ovh8,50000,100.04%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Data,Aggressor L1 Data; load point 1;,0,
998,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-20 02:05:27.794,255.3,ovh8,25000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Instruction,Aggressor L1 Instruction; load point 0;,0,
999,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-19 20:36:31.538,288.3,ovh8,100000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,L3 Data,Aggressor L3 Data; load point 3;,0,
1000,/intel/swan/mutilate/ovh8/percentile/5th,ovh8,2016-12-19 18:05:28.632,100.0,ovh8,175000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 6;,0,
1001,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-20 00:36:26.449,324.6,ovh8,275000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,memBW,Aggressor memBW; load point 10;,0,
1002,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-19 15:16:43.641,299.8,ovh8,200000,99.98%,7be3c448-4fa2-4178-75aa-e23d292d4030,Caffe,Aggressor Caffe; load point 7;,0,55.0
1003,/intel/swan/mutilate/ovh8/percentile/10th,ovh8,2016-12-20 00:09:48.472,109.7,ovh8,200000,100.02%,7be3c448-4fa2-4178-75aa-e23d292d4030,memBW,Aggressor memBW; load point 7;,0,
1004,/intel/swan/mutilate/ovh8/percentile/95th,ovh8,2016-12-19 17:12:13.346,209.2,ovh8,25000,99.96%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 0;,0,
1005,/intel/swan/mutilate/ovh8/percentile/10th,ovh8,2016-12-20 01:03:05.439,133.4,ovh8,350000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,memBW,Aggressor memBW; load point 13;,0,
1006,/intel/swan/mutilate/ovh8/percentile/90th,ovh8,2016-12-19 14:32:25.926,205.5,ovh8,75000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Caffe,Aggressor Caffe; load point 2;,0,1136.0
1007,/intel/swan/mutilate/ovh8/std,ovh8,2016-12-19 22:41:07.664,83.9,ovh8,450000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,L3 Data,Aggressor L3 Data; load point 17;,0,
1008,/intel/swan/mutilate/ovh8/percentile/10th,ovh8,2016-12-19 12:55:00.541,121.0,ovh8,300000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,None,Aggressor None; load point 11;,0,
1009,/intel/swan/mutilate/ovh8/percentile/90th,ovh8,2016-12-19 17:56:31.171,213.2,ovh8,150000,99.98%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 5;,0,
1010,/intel/swan/mutilate/ovh8/avg,ovh8,2016-12-20 02:41:01.383,166.3,ovh8,125000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Instruction,Aggressor L1 Instruction; load point 4;,0,
1011,/intel/swan/mutilate/ovh8/percentile/5th,ovh8,2016-12-20 01:12:02.940,125.2,ovh8,375000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,memBW,Aggressor memBW; load point 14;,0,
1012,/intel/swan/mutilate/ovh8/std,ovh8,2016-12-19 23:25:25.146,51.4,ovh8,75000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,memBW,Aggressor memBW; load point 2;,0,
1013,/intel/swan/mutilate/ovh8/percentile/99_000000th/custom,ovh8,2016-12-20 02:23:12.152,257.341015,ovh8,75000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Instruction,Aggressor L1 Instruction; load point 2;,0,
1014,/intel/swan/mutilate/ovh8/percentile/95th,ovh8,2016-12-19 14:50:07.365,224.3,ovh8,125000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Caffe,Aggressor Caffe; load point 4;,0,
1015,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-20 02:14:22.961,352.7,ovh8,50000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Instruction,Aggressor L1 Instruction; load point 1;,0,
1016,/intel/swan/mutilate/ovh8/percentile/99_000000th/custom,ovh8,2016-12-20 06:05:42.980,384.996953,ovh8,200000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Data,Aggressor L1 Data; load point 7;,0,
1017,/intel/swan/mutilate/ovh8/percentile/10th,ovh8,2016-12-19 18:32:02.575,113.1,ovh8,250000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 9;,0,
1018,/intel/swan/mutilate/ovh8/percentile/90th,ovh8,2016-12-19 18:23:15.861,226.3,ovh8,225000,99.98%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 8;,0,
1019,/intel/swan/mutilate/ovh8/percentile/90th,ovh8,2016-12-19 12:10:52.156,217.9,ovh8,175000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,None,Aggressor None; load point 6;,0,
1020,/intel/swan/mutilate/ovh8/min,ovh8,2016-12-19 14:05:41.698,66.3,ovh8,500000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,None,Aggressor None; load point 19;,0,
1021,/intel/swan/mutilate/ovh8/avg,ovh8,2016-12-19 17:29:55.291,146.3,ovh8,75000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 2;,0,
1022,/intel/swan/mutilate/ovh8/percentile/90th,ovh8,2016-12-19 18:58:37.598,265.9,ovh8,325000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 12;,0,
1023,/intel/swan/mutilate/ovh8/avg,ovh8,2016-12-20 04:27:28.211,233.1,ovh8,425000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Instruction,Aggressor L1 Instruction; load point 16;,0,
1024,/intel/swan/mutilate/ovh8/percentile/10th,ovh8,2016-12-19 12:02:01.547,104.4,ovh8,150000,100.02%,7be3c448-4fa2-4178-75aa-e23d292d4030,None,Aggressor None; load point 5;,0,
1025,/intel/swan/mutilate/ovh8/percentile/90th,ovh8,2016-12-19 20:27:34.403,207.0,ovh8,75000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,L3 Data,Aggressor L3 Data; load point 2;,0,
1026,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-19 14:50:07.365,276.3,ovh8,125000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Caffe,Aggressor Caffe; load point 4;,0,
1027,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-20 02:41:01.383,314.6,ovh8,125000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Instruction,Aggressor L1 Instruction; load point 4;,0,
1028,/intel/swan/mutilate/ovh8/min,ovh8,2016-12-19 13:12:39.656,60.2,ovh8,350000,99.98%,7be3c448-4fa2-4178-75aa-e23d292d4030,None,Aggressor None; load point 13;,0,
1029,/intel/swan/mutilate/ovh8/min,ovh8,2016-12-19 11:35:31.529,54.8,ovh8,75000,99.98%,7be3c448-4fa2-4178-75aa-e23d292d4030,None,Aggressor None; load point 2;,0,
1030,/intel/swan/mutilate/ovh8/percentile/99_000000th/custom,ovh8,2016-12-19 16:10:05.490,370.948915,ovh8,350000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Caffe,Aggressor Caffe; load point 13;,0,33.0
1031,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-19 21:29:55.162,344.8,ovh8,250000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,L3 Data,Aggressor L3 Data; load point 9;,0,
1032,/intel/swan/mutilate/ovh8/std,ovh8,2016-12-20 04:54:05.374,210.2,ovh8,500000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Instruction,Aggressor L1 Instruction; load point 19;,0,
1033,/intel/swan/mutilate/ovh8/std,ovh8,2016-12-19 18:14:24.723,81.8,ovh8,200000,100.02%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 7;,0,
1034,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-19 11:53:11.400,280.8,ovh8,125000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,None,Aggressor None; load point 4;,0,
1035,/intel/swan/mutilate/ovh8/avg,ovh8,2016-12-20 06:23:33.363,176.9,ovh8,250000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Data,Aggressor L1 Data; load point 9;,0,
1036,/intel/swan/mutilate/ovh8/percentile/90th,ovh8,2016-12-19 11:44:22.297,206.1,ovh8,100000,100.03%,7be3c448-4fa2-4178-75aa-e23d292d4030,None,Aggressor None; load point 3;,0,
1037,/intel/swan/mutilate/ovh8/avg,ovh8,2016-12-19 16:10:05.490,206.0,ovh8,350000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Caffe,Aggressor Caffe; load point 13;,0,33.0
